true_label,pred_label,churn_probability,error_type,tenure_group,Contract
0,0,0.024500714158569463,TN,49-72,Two year
0,1,0.8166080401699953,FP,0-12,Month-to-month
0,0,0.06908773945871562,TN,25-48,One year
0,0,0.32024142038946907,TN,13-24,Month-to-month
0,0,0.02396185874787868,TN,49-72,Two year
0,1,0.6024004562571219,FP,13-24,Month-to-month
0,0,0.48058731013205125,TN,13-24,Month-to-month
0,0,0.09833181801761444,TN,13-24,Month-to-month
0,0,0.016736779121857715,TN,49-72,Two year
1,0,0.3442899801381578,FN,13-24,Month-to-month
0,0,0.40169133368507703,TN,49-72,Month-to-month
0,0,0.02333106537824966,TN,49-72,Two year
0,0,0.17102172275464603,TN,49-72,Month-to-month
1,1,0.732543850955242,TP,0-12,Month-to-month
0,0,0.1257968771819988,TN,13-24,Month-to-month
0,0,0.061144014613099124,TN,49-72,Two year
0,0,0.02422855917561152,TN,0-12,Two year
0,1,0.5928027577316949,FP,13-24,Month-to-month
0,0,0.2079318162591626,TN,49-72,One year
0,0,0.06038917326429886,TN,25-48,One year
1,1,0.7298577145305136,TP,0-12,Month-to-month
0,0,0.2626202679360329,TN,13-24,Month-to-month
0,0,0.03412705404496148,TN,49-72,One year
0,0,0.07866220681142148,TN,13-24,One year
0,0,0.17383637823138093,TN,49-72,Month-to-month
0,0,0.17247321371509725,TN,13-24,Month-to-month
1,0,0.35230556302439026,FN,13-24,Month-to-month
1,1,0.7344407063943958,TP,13-24,Month-to-month
0,0,0.025316783503910516,TN,25-48,Two year
1,1,0.7639612301845495,TP,0-12,Month-to-month
0,0,0.4162041685510321,TN,49-72,Month-to-month
0,1,0.5907501912017554,FP,0-12,Month-to-month
0,0,0.032310769792507986,TN,49-72,One year
0,0,0.018710843153955298,TN,49-72,Two year
1,1,0.7666078740198377,TP,0-12,Month-to-month
0,0,0.27696050444186066,TN,49-72,Month-to-month
1,0,0.46068251371188457,FN,0-12,Month-to-month
0,0,0.017268311327033773,TN,49-72,Two year
1,1,0.8615902642481832,TP,0-12,Month-to-month
1,0,0.17850717010568784,FN,25-48,Month-to-month
0,0,0.02020101447510751,TN,49-72,Two year
0,1,0.84366321603411,FP,0-12,Month-to-month
0,0,0.3094465643368766,TN,25-48,Month-to-month
0,0,0.14980312993550776,TN,0-12,Month-to-month
0,0,0.07203039143549429,TN,25-48,One year
1,1,0.6918918995732438,TP,0-12,Month-to-month
0,1,0.711849400742734,FP,0-12,Month-to-month
0,0,0.2380731491028568,TN,0-12,Month-to-month
0,0,0.030382888472125058,TN,49-72,One year
1,0,0.2409222142424173,FN,13-24,Month-to-month
0,0,0.018710843153955298,TN,49-72,Two year
1,1,0.8714064739161511,TP,0-12,Month-to-month
0,0,0.13582264934729302,TN,0-12,Month-to-month
0,0,0.3018800999066875,TN,0-12,Month-to-month
0,0,0.36424995111228353,TN,0-12,Month-to-month
1,1,0.5968541691639344,TP,0-12,Month-to-month
0,0,0.07565286982346098,TN,25-48,One year
0,0,0.07989184480488803,TN,49-72,One year
0,0,0.05578543080318104,TN,25-48,One year
0,0,0.017268311327033773,TN,49-72,Two year
0,0,0.012171169749833713,TN,49-72,Two year
1,0,0.03855315542094704,FN,25-48,One year
0,0,0.10670838709501776,TN,25-48,One year
0,0,0.16446162910646137,TN,0-12,Month-to-month
1,0,0.3002614188621286,FN,0-12,Month-to-month
1,0,0.4477471289009666,FN,0-12,Month-to-month
1,0,0.1619174444546859,FN,0-12,Month-to-month
1,0,0.19872118839836564,FN,13-24,Month-to-month
1,0,0.1328269065014872,FN,0-12,One year
1,1,0.903371051436388,TP,0-12,Month-to-month
0,0,0.011018409609298674,TN,49-72,Two year
0,0,0.02058750959407303,TN,25-48,Two year
1,1,0.5202243371200072,TP,13-24,Month-to-month
0,0,0.09240265456641003,TN,25-48,One year
0,0,0.05005529741969615,TN,49-72,One year
0,0,0.04102638516049329,TN,13-24,One year
0,0,0.08102544940144019,TN,49-72,Two year
1,1,0.5023494936914313,TP,13-24,Month-to-month
0,0,0.12791867053879757,TN,0-12,Month-to-month
0,0,0.017006379140921506,TN,49-72,Two year
0,0,0.04102638516049329,TN,13-24,One year
0,0,0.020162601468449937,TN,49-72,Two year
1,0,0.2287952831923484,FN,13-24,One year
1,1,0.7428014753415605,TP,0-12,Month-to-month
0,0,0.048154063246852764,TN,0-12,One year
0,0,0.40453089425774164,TN,49-72,Month-to-month
0,1,0.6569247823045418,FP,0-12,Month-to-month
1,1,0.7279194713131882,TP,0-12,Month-to-month
1,1,0.51101068942584,TP,13-24,Month-to-month
0,0,0.1015344050319083,TN,49-72,Two year
1,0,0.46146064294464884,FN,13-24,Month-to-month
0,0,0.30834136271269597,TN,13-24,Month-to-month
0,0,0.020112722378754225,TN,25-48,Two year
1,1,0.5136346365195582,TP,13-24,Month-to-month
1,1,0.5094323805827558,TP,0-12,Month-to-month
0,0,0.02310682025756586,TN,25-48,Two year
0,1,0.5104540913476445,FP,0-12,Month-to-month
0,0,0.01915210758511078,TN,49-72,Two year
1,1,0.7982057111518653,TP,0-12,Month-to-month
0,0,0.10355270638190368,TN,0-12,Month-to-month
1,1,0.7348757119791002,TP,13-24,Month-to-month
1,1,0.5696670587097756,TP,0-12,Month-to-month
0,0,0.4810176507593824,TN,13-24,Month-to-month
1,0,0.27713527277889743,FN,25-48,Month-to-month
1,0,0.23822000651359881,FN,13-24,Month-to-month
0,0,0.012988216596033208,TN,49-72,Two year
0,0,0.22390799264178096,TN,49-72,Two year
0,0,0.053548601948185656,TN,49-72,One year
0,0,0.08256274917748455,TN,49-72,Two year
0,0,0.07610121845117693,TN,25-48,Month-to-month
0,0,0.029817611060713994,TN,49-72,One year
0,1,0.6725382742680553,FP,0-12,Month-to-month
0,0,0.1376571588122698,TN,13-24,Month-to-month
0,1,0.5798682726396951,FP,0-12,Month-to-month
1,1,0.6798433031547824,TP,0-12,Month-to-month
0,0,0.06699093820214912,TN,49-72,Two year
1,0,0.461020694197277,FN,0-12,Month-to-month
0,0,0.4214609290439578,TN,13-24,Month-to-month
0,0,0.07004466410908737,TN,49-72,Two year
0,0,0.01754632060365613,TN,49-72,Two year
0,0,0.027342115667487107,TN,49-72,Two year
1,1,0.8720977793867019,TP,0-12,Month-to-month
0,0,0.02507972000098687,TN,49-72,Two year
0,0,0.04266416906964877,TN,25-48,One year
1,1,0.8067608076481811,TP,0-12,Month-to-month
0,0,0.02698372862981362,TN,49-72,Two year
1,0,0.35557388754570224,FN,25-48,Month-to-month
0,0,0.17436213816104748,TN,25-48,Month-to-month
1,1,0.5276537796299533,TP,25-48,Month-to-month
0,0,0.0791432502170547,TN,0-12,Month-to-month
1,0,0.24991114424616018,FN,0-12,Month-to-month
1,0,0.33118971240146766,FN,13-24,Month-to-month
0,0,0.17779031944846463,TN,49-72,Two year
0,0,0.11509323733259423,TN,13-24,One year
0,0,0.04184294953630451,TN,49-72,Two year
0,0,0.3232732341198414,TN,25-48,Month-to-month
0,0,0.024615817383369213,TN,0-12,Two year
0,0,0.09314296297267081,TN,25-48,Month-to-month
0,0,0.018716991350342504,TN,49-72,Two year
1,0,0.43676225812019864,FN,49-72,Month-to-month
0,0,0.053717526981990914,TN,49-72,Two year
0,0,0.0759734140322581,TN,49-72,Two year
0,1,0.6055608489793257,FP,0-12,Month-to-month
0,0,0.05691301401546304,TN,49-72,One year
0,0,0.020636100472228764,TN,25-48,One year
0,0,0.1817294597573424,TN,49-72,Two year
0,0,0.07845881691924007,TN,25-48,Month-to-month
1,0,0.3110211084838896,FN,49-72,Month-to-month
0,0,0.3083909737123398,TN,13-24,Month-to-month
0,0,0.3024627243665783,TN,13-24,Month-to-month
0,0,0.02310682025756586,TN,25-48,Two year
0,0,0.47354056753345264,TN,0-12,Month-to-month
0,0,0.10131278855168276,TN,49-72,Two year
0,0,0.2587038730850699,TN,13-24,Month-to-month
1,1,0.7705737426038023,TP,0-12,Month-to-month
0,0,0.4001684739154026,TN,13-24,Month-to-month
0,1,0.5614050989375748,FP,0-12,Month-to-month
1,0,0.47956210975077374,FN,0-12,Month-to-month
1,1,0.5757183964829858,TP,0-12,Month-to-month
1,0,0.4696026682644237,FN,25-48,Month-to-month
0,0,0.08135606397142242,TN,49-72,Two year
0,0,0.08701933523953324,TN,25-48,Two year
0,0,0.01055020600149679,TN,49-72,Two year
0,0,0.0165282979760092,TN,25-48,Two year
0,0,0.04425270252730393,TN,25-48,Two year
1,0,0.10355270638190368,FN,0-12,Month-to-month
0,0,0.04813959322131083,TN,25-48,One year
1,0,0.17442532642641068,FN,49-72,One year
0,0,0.08295674520379998,TN,13-24,Month-to-month
0,0,0.02785794042884115,TN,49-72,Two year
0,0,0.31402410078357434,TN,13-24,Month-to-month
1,1,0.8984240366769217,TP,0-12,Month-to-month
0,0,0.14471789685116276,TN,25-48,Month-to-month
1,0,0.26110175145723663,FN,0-12,Month-to-month
0,0,0.44442047183522276,TN,13-24,Month-to-month
0,0,0.4375938276481074,TN,0-12,Month-to-month
0,0,0.017502600247486053,TN,49-72,Two year
0,0,0.017502600247486053,TN,49-72,Two year
0,0,0.3103083228614689,TN,25-48,Month-to-month
0,0,0.18300411951812276,TN,25-48,Month-to-month
1,1,0.5267538007497239,TP,0-12,Month-to-month
0,0,0.07947834851460556,TN,25-48,One year
1,1,0.7368851336398545,TP,0-12,Month-to-month
1,0,0.2622869355840955,FN,0-12,Month-to-month
0,0,0.010887438480658285,TN,49-72,Two year
0,0,0.2390690545294473,TN,49-72,Month-to-month
0,0,0.09418478972497933,TN,49-72,Month-to-month
1,0,0.434363894361403,FN,0-12,Month-to-month
0,0,0.09781982981122177,TN,13-24,One year
0,0,0.04401930883833289,TN,49-72,Two year
0,0,0.19001278979691472,TN,49-72,Month-to-month
0,0,0.4776755271655307,TN,0-12,Month-to-month
1,1,0.6095357030341575,TP,13-24,Month-to-month
0,0,0.017419071903836805,TN,13-24,Two year
0,0,0.38336720572960364,TN,25-48,Month-to-month
0,0,0.388604780287468,TN,25-48,Month-to-month
0,0,0.47922838000180923,TN,49-72,Month-to-month
0,0,0.20683809415637222,TN,13-24,One year
0,0,0.46364807990585816,TN,49-72,Month-to-month
0,0,0.3756447399044046,TN,13-24,Month-to-month
0,0,0.19690483264241174,TN,13-24,Month-to-month
0,0,0.01801442645391583,TN,13-24,Two year
0,0,0.0463785730716436,TN,0-12,One year
0,0,0.07285372224939525,TN,25-48,Month-to-month
0,0,0.1646234996155521,TN,0-12,Month-to-month
0,0,0.0782436960266787,TN,49-72,Two year
0,0,0.1344361025390685,TN,49-72,Month-to-month
0,0,0.2238620326799662,TN,0-12,Month-to-month
0,0,0.40967085302818723,TN,0-12,Month-to-month
0,0,0.017640969579509738,TN,49-72,Two year
1,0,0.15305147463859392,FN,49-72,One year
0,1,0.5568352871090619,FP,0-12,Month-to-month
1,0,0.15630319381303198,FN,25-48,One year
0,0,0.02261091640228792,TN,13-24,Two year
0,0,0.04611603785006558,TN,49-72,One year
0,0,0.3502972947864767,TN,13-24,Month-to-month
0,0,0.02002458408109003,TN,49-72,Two year
0,0,0.47787741195974714,TN,25-48,Month-to-month
1,1,0.5268535907267092,TP,25-48,Month-to-month
1,0,0.0828937198238645,FN,25-48,Month-to-month
0,0,0.0738899252184404,TN,49-72,Two year
0,0,0.11441056648656832,TN,25-48,One year
0,0,0.33549852971044414,TN,13-24,Month-to-month
0,0,0.06252504634352737,TN,25-48,Month-to-month
0,1,0.7324184213632119,FP,0-12,Month-to-month
0,0,0.12438328578879766,TN,49-72,One year
0,0,0.012790361515030048,TN,49-72,Two year
0,0,0.10116020171108636,TN,0-12,Month-to-month
1,1,0.711350733817034,TP,13-24,Month-to-month
0,1,0.6698577668221602,FP,0-12,Month-to-month
0,0,0.2027508754644067,TN,25-48,Two year
1,0,0.49976576624485125,FN,13-24,Month-to-month
0,0,0.34480539481169026,TN,25-48,Month-to-month
0,0,0.03499093630955347,TN,49-72,Two year
1,1,0.8569218805121193,TP,0-12,Month-to-month
1,1,0.7564876555157933,TP,0-12,Month-to-month
1,0,0.32387900923558627,FN,49-72,Month-to-month
0,0,0.28984657889556736,TN,0-12,Month-to-month
0,0,0.1852953507525738,TN,49-72,One year
0,0,0.477987342024003,TN,25-48,Month-to-month
1,1,0.7886070653094142,TP,0-12,Month-to-month
1,0,0.49493607535250794,FN,25-48,Month-to-month
0,0,0.057625592636473266,TN,49-72,Two year
0,0,0.10397155188095115,TN,49-72,Two year
1,1,0.6419648803946436,TP,0-12,Month-to-month
1,1,0.6325034739016895,TP,13-24,Month-to-month
1,1,0.6356382330317426,TP,0-12,Month-to-month
0,0,0.04011190276776718,TN,13-24,One year
0,0,0.02683508779744917,TN,0-12,Two year
0,0,0.39081911110958867,TN,49-72,Month-to-month
0,0,0.035652595150132624,TN,25-48,One year
0,0,0.05587926008690021,TN,0-12,Month-to-month
0,0,0.09064855566514059,TN,13-24,Month-to-month
0,0,0.0495223325143818,TN,49-72,Two year
1,0,0.29312109160001437,FN,0-12,Month-to-month
0,0,0.01962498174962386,TN,13-24,Two year
0,0,0.052190927009203435,TN,0-12,One year
0,0,0.19443803857244013,TN,13-24,Month-to-month
0,0,0.2766620668767488,TN,25-48,One year
0,0,0.39700102668169757,TN,49-72,Month-to-month
0,0,0.37620914920243,TN,0-12,Month-to-month
0,0,0.10004752994323565,TN,49-72,Two year
0,0,0.011803337577678933,TN,49-72,Two year
0,0,0.11749030965591477,TN,13-24,Month-to-month
1,1,0.7495358528337316,TP,0-12,Month-to-month
1,0,0.1262984068669855,FN,25-48,Month-to-month
1,1,0.5149243439539611,TP,0-12,Month-to-month
0,0,0.03828728541916424,TN,49-72,One year
0,0,0.38691536689429273,TN,25-48,Month-to-month
0,1,0.6300023757781131,FP,0-12,Month-to-month
0,1,0.6416402030978243,FP,0-12,Month-to-month
0,0,0.015923045289688395,TN,49-72,Two year
0,0,0.4278791072510261,TN,0-12,Month-to-month
0,0,0.16287266341608042,TN,0-12,One year
0,0,0.021605986584552365,TN,49-72,Two year
0,1,0.695941170961732,FP,0-12,Month-to-month
1,1,0.830300103174369,TP,0-12,Month-to-month
0,0,0.4521980965920126,TN,13-24,Month-to-month
1,1,0.8293519035567185,TP,0-12,Month-to-month
0,0,0.08309951867913754,TN,0-12,Month-to-month
0,0,0.46925099916371343,TN,0-12,Month-to-month
0,0,0.08290029525155347,TN,0-12,Month-to-month
0,0,0.3988790300084143,TN,0-12,Month-to-month
0,0,0.04334776088775534,TN,13-24,One year
0,1,0.5347550081788213,FP,0-12,Month-to-month
1,1,0.6571348266873804,TP,0-12,Month-to-month
1,0,0.19675273150720785,FN,13-24,Month-to-month
0,0,0.05249923968718326,TN,49-72,Two year
1,1,0.5764061928276141,TP,25-48,Month-to-month
0,0,0.033957533049765475,TN,25-48,One year
0,0,0.400179615283178,TN,0-12,Month-to-month
0,0,0.17477197273888576,TN,49-72,Month-to-month
0,0,0.019387047560771753,TN,49-72,Two year
0,0,0.09143651078776725,TN,25-48,Month-to-month
0,0,0.06077350895820567,TN,0-12,One year
0,0,0.173530678303361,TN,25-48,One year
0,0,0.33778574114055293,TN,25-48,Month-to-month
1,0,0.03531194707895399,FN,0-12,Month-to-month
0,0,0.036708604029555586,TN,49-72,One year
0,0,0.055557406577177226,TN,13-24,One year
0,0,0.01069292235440328,TN,49-72,Two year
1,0,0.24330251879036974,FN,25-48,Month-to-month
0,1,0.5086402686571823,FP,0-12,Month-to-month
0,0,0.04115967689243465,TN,49-72,One year
1,1,0.7706461675472747,TP,0-12,Month-to-month
0,0,0.16234053671414317,TN,13-24,Month-to-month
0,0,0.07429144120685131,TN,49-72,One year
0,0,0.0780275100621517,TN,0-12,One year
0,0,0.2261813731145168,TN,0-12,Month-to-month
0,0,0.10717832397831809,TN,0-12,Month-to-month
0,1,0.5904543662846424,FP,0-12,Month-to-month
0,0,0.38458937429297724,TN,0-12,Month-to-month
0,0,0.05552695156624891,TN,49-72,Two year
0,0,0.06513879068001016,TN,25-48,One year
0,0,0.05717437588468568,TN,25-48,One year
0,0,0.0427095090825613,TN,25-48,One year
0,0,0.11310980695195028,TN,49-72,Two year
0,0,0.07000035324233596,TN,13-24,One year
1,0,0.4192513265351234,FN,0-12,Month-to-month
1,1,0.6192912780238194,TP,0-12,Month-to-month
0,0,0.43979423915774224,TN,25-48,Month-to-month
0,1,0.5365400104259503,FP,0-12,Month-to-month
1,1,0.5540863482937348,TP,0-12,Month-to-month
0,0,0.08247376521262909,TN,0-12,Month-to-month
0,0,0.29952971695437697,TN,25-48,Month-to-month
0,0,0.03943144743681426,TN,25-48,Two year
1,0,0.11719207514239664,FN,49-72,Two year
0,1,0.5773567837705519,FP,13-24,Month-to-month
0,0,0.07211754387460477,TN,49-72,One year
0,0,0.025252386526712127,TN,49-72,Two year
0,0,0.2405706197110035,TN,0-12,Month-to-month
1,0,0.16020247946920707,FN,49-72,One year
0,0,0.03948428328416239,TN,49-72,Two year
0,0,0.0421877373030851,TN,13-24,One year
0,0,0.015643683013194676,TN,49-72,Two year
0,0,0.019270378519472484,TN,49-72,Two year
1,1,0.5206002389776492,TP,0-12,Month-to-month
0,0,0.11754756180981446,TN,25-48,Month-to-month
0,0,0.01789401308200549,TN,25-48,Two year
0,0,0.03282070600981343,TN,25-48,One year
0,0,0.01440422489187699,TN,49-72,Two year
1,1,0.8463881608859949,TP,0-12,Month-to-month
0,0,0.1832132464687509,TN,25-48,Month-to-month
1,0,0.3727564971295948,FN,0-12,Month-to-month
1,1,0.878540323782671,TP,0-12,Month-to-month
1,0,0.051629930368434135,FN,49-72,Two year
0,0,0.017395925324573142,TN,49-72,Two year
1,0,0.4401654245319694,FN,13-24,Month-to-month
0,0,0.13985360258274107,TN,25-48,Month-to-month
1,1,0.6317250351000618,TP,13-24,Month-to-month
0,0,0.08813379255981656,TN,13-24,One year
1,0,0.07238579794561532,FN,25-48,One year
0,0,0.13758732974245355,TN,0-12,One year
0,0,0.19578507979017248,TN,0-12,Month-to-month
0,0,0.010301686794019955,TN,49-72,Two year
0,0,0.20141428989769897,TN,13-24,Month-to-month
0,0,0.12673956579219317,TN,49-72,Two year
0,1,0.5613631132226758,FP,25-48,Month-to-month
0,0,0.07092570225431541,TN,49-72,Two year
1,1,0.7048844041554122,TP,0-12,Month-to-month
1,1,0.7330401693919282,TP,0-12,Month-to-month
0,0,0.024243699898127472,TN,13-24,Two year
0,0,0.14898822572081719,TN,49-72,One year
0,0,0.2724313583091769,TN,49-72,Month-to-month
0,0,0.12874514176929475,TN,13-24,Month-to-month
1,0,0.14058119060231916,FN,49-72,One year
0,0,0.16356296646966886,TN,0-12,Month-to-month
0,0,0.05584703728849001,TN,25-48,One year
