threshold,precision,recall,f1,n_predicted_positive
0.1,0.40813953488372096,0.9385026737967914,0.5688816855753647,860
0.15,0.44804318488529016,0.8877005347593583,0.5955156950672645,741
0.2,0.48073959938366717,0.8342245989304813,0.6099706744868035,649
0.25,0.5128644939965694,0.7994652406417112,0.6248693834900731,583
0.3,0.5286259541984732,0.7406417112299465,0.6169265033407573,524
0.35,0.5626326963906582,0.7085561497326203,0.6272189349112426,471
0.4,0.5995085995085995,0.6524064171122995,0.6248399487836107,407
0.45,0.622478386167147,0.5775401069518716,0.5991678224687933,347
0.5,0.6666666666666666,0.5347593582887701,0.5934718100890207,300
0.55,0.6885245901639344,0.44919786096256686,0.5436893203883495,244
0.6,0.7354497354497355,0.3716577540106952,0.4937833037300178,189
0.65,0.7534246575342466,0.29411764705882354,0.4230769230769231,146
0.7,0.7966101694915254,0.25133689839572193,0.3821138211382114,118
0.75,0.825,0.17647058823529413,0.2907488986784141,80
0.8,0.7868852459016393,0.12834224598930483,0.2206896551724138,61
0.85,0.9375,0.08021390374331551,0.1477832512315271,32
0.9,1.0,0.0213903743315508,0.041884816753926704,8
